sample,year,egg,sex,processing_latency,part,percent.cells,HH,DNA.conc,DNA.quantity,female.id,probability.of.parentage,probability.of.parentage.idexcl,colony.mother.correct,colony.mother.correct.idexcl,colony.father.match.social,colony.father.match.idexcl,hh.stage,percentage.cells,sep/gunk,zero.amplification,number.amplified,percent.amplfied,mismatched.microsats,percent.mismatched
E20.003,2020,E20.003,F,NA,EC,10,1,27,2700,24,0.4584,0.9319,1,0,0,0,0,100,GUNK,FALSE,36,90,1,5.56
E20.004,2020,E20.004,F,NA,EC,100,2,93.4,9340,25,0.4584,0.9319,0,0,0,0,21,100,GUNK,FALSE,36,90,7,38.89
E20.005,2020,E20.005,M,NA,EC,100,2,0.37,37,25,0.4584,0.9319,NA,NA,0,0,0,10,SEP,FALSE,6,15,0,0
E20.006,2020,E20.006,F,NA,PVL+EC,10,1,0.57,57,25,NA,NA,0,0,NA,NA,0,10,SEP,FALSE,22,55,0,0
E20.007,2020,E20.007,NA,NA,PVL,5,1,0,0,NA,0.4584,0.9319,0,0,0,0,0,5,SEP,FALSE,18,45,0,0
E20.008,2020,E20.008,NA,NA,EC,10,1,0.192,19.2,NA,0.4584,0.9319,0,0,0,0,0,10,SEP,FALSE,35,87.5,0,0
E20.009,2020,E20.009,M,NA,EC,10,1,8.58,858,27,0.4584,0.9319,1,1,0,0,0,10,GUNK,FALSE,36,90,1,5.56
E20.010,2020,E20.010,M,NA,EC,5,1,1.92,192,4,0.0128,0.0129,1,1,0,0,0,10,SEP,FALSE,34,85,1,5.56
E20.012,2020,E20.012,F,NA,NA,5,1,56.6,5660,28,0.0128,0.0129,1,1,0,0,0,10,0,FALSE,28,70,1,5.56
E20.013,2020,E20.013,M,NA,PVL+EC,100,2,0.5,50,13,0.0128,0.0129,NA,NA,0,0,0,10,SEP,FALSE,8,20,NA,NA
E20.014,2020,E20.014,M,NA,EC,100,2,0.71,71,29,0.0128,0.0129,1,1,0,0,0,100,GUNK,FALSE,34,85,1,5.56
E20.015,2020,E20.015,M,NA,EC,100,2,7.48,748,30,0.4584,0.3431,1,1,0,0,0,10,GUNK,FALSE,36,90,6,33.33
E20.016,2020,E20.016,F,NA,PVL+EC,10,1,0.944,94.4,31,0.4584,0.3431,1,1,0,0,0,10,SEP,FALSE,18,45,0,0
E20.017,2020,E20.017,M,NA,EC,10,1,14.3,1430,31,0.4584,0.3431,1,1,0,0,0,10,SEP,FALSE,32,80,1,5.56
E20.018,2020,E20.018,M,NA,PVL,5,1,31.2,3120,31,0.4584,0.3431,1,1,0,0,0,10,SEP,FALSE,32,80,1,5.56
E20.019,2020,E20.019,M,NA,PVL+EC,5,1,0.244,24.4,32,0.0128,0.0129,1,1,0,0,0,10,GUNK,FALSE,36,90,6,33.33
E20.020,2020,E20.020,M,NA,EC,100,2,4.2,420,33,0.4584,0.3431,NA,NA,0,0,0,10,GUNK,FALSE,14,35,2,11.11
E20.021,2020,E20.021,F,NA,PVL+EC,5,1,0.704,70.4,33,NA,NA,NA,NA,NA,NA,0,5,SEP(ISH),FALSE,2,5,NA,NA
E20.022,2020,E20.022,F,NA,EC,10,1,120,12000,33,NA,NA,0,0,NA,NA,30,100,GUNK,FALSE,30,75,0,0
E20.023,2020,E20.023,M,NA,EC,10,1,4.68,468,30,0.4584,0.3431,1,1,0,0,15,100,GUNK,FALSE,20,50,1,5.56
E20.024,2020,E20.024,NA,NA,EC,10,1,120,12000,34,0.4584,0.0129,1,1,0,0,27,10,GUNK,FALSE,30,75,2,11.11
E20.027,2020,E20.027,M,NA,PVL+EC,10,1,45.2,4520,24,0.4584,0.9319,1,0,0,0,0,10,GUNK,FALSE,35,87.5,1,5.56
E20.028,2020,E20.028,M,NA,EC,10,1,0.402,40.2,24,0.4584,0.9319,0,0,0,0,0,10,SEP,FALSE,36,90,6,33.33
E20.029,2020,E20.029,F,NA,EC,100,2,1.73,173,24,0.4584,0.9319,1,0,0,0,0,10,GUNK,FALSE,36,90,1,5.56
E20.030,2020,E20.030,M,NA,EC,100,2,37.2,3720,21,0.4584,0.0129,1,0,0,0,0,10,GUNK,FALSE,36,90,6,33.33
E20.031,2020,E20.031,M,NA,EC,100,2,104,10400,35,0.0128,0.0129,1,1,0,0,25,100,GUNK,FALSE,20,50,3,16.67
E20.032,2020,E20.032,M,NA,EC,100,2,0.55,55,NA,0.4584,0.9319,0,0,0,0,0,10,SEP,FALSE,36,90,0,0
E20.033,2020,E20.033,M,NA,EC,10,1,0.444,44.4,NA,0.4584,0.9319,0,0,0,0,0,10,SEP,FALSE,36,90,0,0
E20.034,2020,E20.034,M,NA,EC,10,1,1.36,136,NA,0.4584,0.9319,0,0,0,0,0,10,SEP,FALSE,36,90,0,0
E20.035,2020,E20.035,M,NA,EC,10,1,0.41,41,NA,0.4584,0.9319,0,0,0,0,0,10,SEP,FALSE,36,90,0,0
E20.036,2020,E20.036,F,NA,EC,10,1,100,10000,36,0.4584,0.0129,1,1,0,0,25,100,GUNK,FALSE,30,75,1,5.56
E20.037,2020,E20.037,F,NA,EC,10,1,23.2,2320,NA,0.4584,0.0129,0,0,0,0,20,100,GUNK,FALSE,36,90,0,0
E20.038,2020,E20.038,M,NA,EC,10,1,70.4,7040,NA,0.4584,0.0129,0,0,0,0,18,100,GUNK,FALSE,27,67.5,0,0
E20.039,2020,E20.039,M,NA,PVL+EC,100,2,0.132,13.2,37,NA,NA,0,0,NA,NA,0,10,SEP,FALSE,30,75,0,0
E20.040,2020,E20.040,F,NA,PVL+EC,10,1,0.254,25.4,37,0.4584,0.3431,1,1,0,0,0,10,SEP,FALSE,24,60,0,0
E20.041,2020,E20.041,NA,NA,PVL+EC,100,2,6.6,660,38,0.4584,0.3431,NA,NA,0,0,0,10,SEP,FALSE,16,40,0,0
E20.042,2020,E20.042,F,NA,EC,100,2,63.6,6360,37,0.9929,0.3431,0,1,0,0,19,100,GUNK,FALSE,36,90,7,38.89
E20.043,2020,E20.043,F,NA,EC,100,2,19,1900,39,0.4584,0.3431,1,1,0,0,0,10,GUNK,FALSE,35,87.5,1,5.56
E20.045,2020,E20.045,M,NA,EC,10,1,24.8,2480,3,0.4584,0.0129,1,1,0,0,0,10,GUNK,FALSE,36,90,1,5.56
E20.046,2020,E20.046,M,NA,PVL+EC,NA,1,4.04,404,40,0.4584,0.0129,1,1,0,0,10,10,SEP,FALSE,36,90,0,0
E20.047,2020,E20.047,M,NA,PVL+EC,10,1,14.2,1420,40,0.4584,0.0129,1,1,0,0,0,10,SEP,FALSE,36,90,1,5.56
E20.048,2020,E20.048,F,NA,EC,100,2,32.2,3220,41,0.0128,0.0129,NA,NA,0,0,0,10,GUNK,FALSE,17,42.5,2,11.11
E20.049,2020,E20.049,M,NA,PVL+EC,100,2,0.322,32.2,42,0.0128,0.0129,NA,NA,0,0,0,10,SEP ,FALSE,12,30,1,5.56
